opcode,num_operands
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
31,1
33,2
56,4
33,2
56,4
33,2
56,4
56,4
56,4
33,2
56,4
33,2
56,4
33,2
56,4
33,2
56,4
33,2
56,4
32,1
32,1
32,1
34,2
56,2
5,7
56,2
33,2
5,5
2,1
56,2
22,2
53,2
2,3
33,2
5,5
2,1
66,0
64,1
33,2
64,1
33,2
56,2
2,1
66,0
64,1
33,2
64,1
33,2
56,2
2,1
56,4
32,1
17,2
33,2
56,4
33,2
2,1
32,1
53,2
2,3
32,1
32,1
17,2
39,1
26,2
28,2
38,1
33,2
5,5
2,1
32,1
13,2
33,2
2,1
56,4
33,2
2,1
32,1
56,2
53,2
2,3
56,4
56,4
33,2
2,1
32,1
53,2
2,3
32,1
32,1
17,2
40,1
13,2
56,3
32,1
39,1
25,2
32,1
32,1
17,2
40,1
13,2
13,2
56,3
32,1
39,1
25,2
29,2
32,1
32,1
17,2
40,1
13,2
13,2
56,3
32,1
39,1
25,2
29,2
32,1
32,1
17,2
40,1
13,2
13,2
56,3
32,1
39,1
29,2
32,1
40,1
34,3
33,2
2,1
32,1
13,2
33,2
2,1
56,4
33,2
2,1
32,1
53,2
2,3
32,1
15,2
40,1
34,3
32,1
32,1
15,2
40,1
34,3
32,1
30,2
32,1
15,2
40,1
34,3
32,1
30,2
32,1
15,2
40,1
34,3
32,1
30,2
5,6
32,1
40,1
34,3
33,2
2,1
32,1
13,2
33,2
2,1
56,4
32,1
33,2
56,4
32,1
33,2
56,4
32,1
33,2
56,4
32,1
33,2
56,4
32,1
33,2
56,4
33,2
2,1
32,1
53,2
2,3
56,4
56,4
32,1
53,2
2,3
32,1
32,1
28,2
32,1
30,2
32,1
28,2
29,2
33,2
33,2
2,1
32,1
53,2
2,3
32,1
32,1
30,2
32,1
30,2
33,2
33,2
2,1
32,1
53,2
2,3
32,1
32,1
28,2
32,1
32,1
28,2
29,2
32,1
32,1
28,2
29,2
33,2
33,2
2,1
32,1
32,1
30,2
32,1
30,2
33,2
33,2
2,1
2,1
2,1
56,4
32,1
5,6
32,1
13,2
32,1
13,2
32,1
13,2
32,1
40,1
34,3
32,1
13,2
33,2
32,1
33,2
32,1
33,2
32,1
5,6
33,2
32,1
33,2
32,1
33,2
2,1
32,1
13,2
33,2
2,1
32,1
32,1
13,2
33,2
32,1
32,1
13,2
33,2
32,1
32,1
13,2
33,2
32,1
32,1
13,2
33,2
32,1
32,1
13,2
33,2
2,1
32,1
13,2
33,2
2,1
56,4
34,3
32,1
33,2
34,2
32,1
33,2
34,2
32,1
33,2
34,2
32,1
33,2
34,2
32,1
33,2
56,4
33,2
2,1
32,1
53,2
2,3
32,1
40,1
34,3
32,1
26,2
28,2
38,1
32,1
32,1
17,2
13,2
40,1
34,2
33,2
32,1
40,1
34,3
32,1
26,2
28,2
38,1
32,1
32,1
17,2
13,2
40,1
34,2
33,2
32,1
40,1
34,3
32,1
26,2
28,2
38,1
32,1
32,1
17,2
13,2
40,1
34,2
33,2
32,1
40,1
34,3
32,1
28,2
38,1
32,1
32,1
17,2
13,2
40,1
34,2
33,2
2,1
32,1
13,2
33,2
2,1
56,2
1,0
32,1
32,1
65,2
65,2
6,1
